Violation_ID,Source,Target,Cycle
1,C0678661,C1327622,C0678661 -> C1327622 -> C0678661
2,C0034150,C0029678,C0034150 -> C0029678 -> C0034150
3,C0034150,C0242461,C0034150 -> C0034152 -> C0242461 -> C0034150
4,C0034150,C0034152,C0034150 -> C0034152 -> C0034150
5,C0005058,C0220795,C0005058 -> C0053225 -> C0220795 -> C0005058
6,C0005058,C0053225,C0005058 -> C0053225 -> C0220795 -> C0005058
7,C0043318,C0043314,C0043318 -> C0043314 -> C0043318
8,C0348522,C0497209,C0348522 -> C0497209 -> C0348522
9,C0037299,C0494891,C0037299 -> C0494891 -> C0037299
10,C0037299,C0038358,C0037299 -> C0157738 -> C0333297 -> C0038358 -> C0041582 -> C0494891 -> C0037299
11,C0037299,C0333297,C0037299 -> C0157738 -> C0333297 -> C0038358 -> C0041582 -> C0494891 -> C0037299
12,C0037299,C0157738,C0037299 -> C0157738 -> C0037299
13,C0037299,C0030920,C0037299 -> C0157738 -> C0333297 -> C0038358 -> C0030920 -> C0041582 -> C0494891 -> C0037299
14,C0037299,C0041582,C0037299 -> C0041582 -> C0157738 -> C0037299
15,C0360097,C0794811,C0360097 -> C0876068 -> C0794811 -> C0360097
16,C0360097,C4238929,C0360097 -> C0876068 -> C0794811 -> C4238929 -> C0360097
17,C0360097,C0876068,C0360097 -> C0876068 -> C0794811 -> C0360097
18,C0887887,C1166740,C0887887 -> C1166740 -> C0887887
19,C0018042,C0230765,C0018042 -> C0230765 -> C0018042
20,C0302467,C0478000,C0302467 -> C0478000 -> C0302467
21,C0040156,C0020550,C0040156 -> C0020550 -> C0040156
22,C0015397,C0547030,C0015397 -> C0042790 -> C0547030 -> C0042790 -> C0015397
23,C0015397,C0497217,C0015397 -> C0497217 -> C0015397
24,C0015397,C0042790,C0015397 -> C0042790 -> C0015397
25,C0272677,C0478306,C0272677 -> C0478306 -> C0272677
26,C0494634,C0007932,C0494634 -> C0494112 -> C0007932 -> C0041234 -> C0494112 -> C0007930 -> C0494634
27,C0494634,C0007930,C0494634 -> C0494112 -> C0007930 -> C0494634
28,C0494634,C0041234,C0494634 -> C0494112 -> C0007932 -> C0041234 -> C0494112 -> C0007930 -> C0494634
29,C0494634,C0494112,C0494634 -> C0494112 -> C0007930 -> C0494634
30,C0494634,C0349351,C0494634 -> C0494112 -> C0007930 -> C0349351 -> C0007930 -> C0494634
31,C2015799,C0549469,C2015799 -> C0027765 -> C0027868 -> C4721453 -> C0549469 -> C0027765 -> C2015799
