Cycle_ID,Cycle
1,C1140168 -> C1512759 -> C1512762 -> C1254372
2,C0005898 -> C0460148 -> C4241262 -> C0700276 -> C0150934 -> C0460004
3,C0229962 -> C0005898 -> C0460148 -> C4241262 -> C0700276 -> C0150934 -> C0460004 -> C0229963 -> C1268087
4,C0005898 -> C0460148 -> C4241262 -> C0700276 -> C0150934 -> C0460004 -> C0229963
5,C0282503 -> C2987719 -> C0042926 -> C0023741 -> C0023008 -> C0023015 -> C0023009 -> C3714787 -> C1518256 -> C0229962 -> C0005898 -> C0460148 -> C4241262 -> C0700276 -> C0150934 -> C0460004 -> C0541718 -> C0392918 -> C1140118 -> C2347818 -> C0008902 -> C0021423 -> C0021424 -> C1256741 -> C1256739 -> C1135584 -> C0038545
6,C1140118 -> C2347818 -> C0008902 -> C0456387 -> C0699794 -> C1443286 -> C0449234 -> C0332280 -> C0338068
7,C0008902 -> C0456387
8,C0037434 -> C0004940
9,C0008902 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C2316799 -> C0242485 -> C0449851 -> C0441655 -> C0376109 -> C1137112 -> C0870733
10,C0282503 -> C2987719 -> C0042926 -> C0023741 -> C0023008 -> C0023015 -> C0023009 -> C3714787 -> C1518256 -> C0229962 -> C0005898 -> C0460148 -> C4241262 -> C0700276 -> C0150934 -> C0460004 -> C0541718 -> C0392918 -> C1140118 -> C2347818 -> C0008902 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C2316799 -> C0242485 -> C0449851 -> C0441655 -> C0376109 -> C1137112 -> C0870733
11,C1314971 -> C1979508 -> C1136323 -> C0282503 -> C2987719 -> C0042926 -> C0023741 -> C0023008 -> C0023015 -> C0023009 -> C3714787 -> C1518256 -> C0229962 -> C0005898 -> C0460148 -> C4241262 -> C0700276 -> C0150934 -> C0460004 -> C0541718 -> C0392918 -> C1140118 -> C2347818 -> C0008902 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C2316799 -> C0242485 -> C0449851 -> C0441655 -> C0412555 -> C1315013
12,C1136323 -> C0282503 -> C2987719 -> C0042926 -> C0023741 -> C0023008 -> C0023015 -> C0023009 -> C3714787 -> C1518256 -> C0229962 -> C0005898 -> C0460148 -> C4241262 -> C0700276 -> C0150934 -> C0460004 -> C0541718 -> C0392918 -> C1140118 -> C2347818 -> C0008902 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C2316799 -> C0242485 -> C0449851 -> C0441655 -> C0412555 -> C1315013 -> C5690167 -> C1976636
13,C1314971 -> C1979508 -> C1136323 -> C0282503 -> C2987719 -> C0042926 -> C0023741 -> C0023008 -> C0023015 -> C0023009 -> C3714787 -> C1518256 -> C0229962 -> C0005898 -> C0460148 -> C4241262 -> C0700276 -> C0150934 -> C0460004 -> C0541718 -> C0392918 -> C1140118 -> C2347818 -> C0008902 -> C0920316 -> C0021425 -> C0683836 -> C0449416 -> C0439659 -> C0201814 -> C2316799 -> C0242485 -> C0449851 -> C0441655 -> C0412555
